W.E.B. Du Bois,webdubois,"scholar, activist",,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Boston, Massachusetts, USA",1907-08,,"Lewis, Biography of a Race 339",,1907-08,"Lewis, Biography of a Race 339",Third Niagara Movement Meeting (end of August),,,boston_massachusetts_usa,Boston,Massachusetts,US,,,,
"Atlanta, Georgia, USA",1907-08,,"Lewis, Biography of a Race 339",,1908-08,"Lewis, Biography of a Race 348",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1908-05,,"Lewis, Biography of a Race 401",,1908-05,"Lewis, Biography of a Race 401",Spoke at New York's Republican club,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",1908-05,,"Lewis, Biography of a Race 401",,1908-08,"Lewis, Biography of a Race 401",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Nashville, Tennessee, USA",,1908-06-15,"Lewis, Fight 134",,,,Spoke at Fisk commencement,,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Chicago, Illinois, USA",1908-08,,"Lewis, Biography of a Race 383",,1908-08,"Lewis, Biography of a Race 383",Chicago tonsillectomy in early August,,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"Oberlin, Ohio, USA",1908-08,,"Lewis, Biography of a Race 348",,1908-08,"Lewis, Biography of a Race 348",Fourth Niagara Movement Meeting,,,oberlin_ohio_usa,Oberlin,Ohio,US,,,,
"Atlanta, Georgia, USA",1908-08,,"Lewis, Biography of a Race 348",,,,Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Sea Isle City, New Jersey, USA",1909-08,,"Lewis, Biography of a Race 383",,1909-08,"Lewis, Biography of a Race 383",Fifth Niagara Movement meeting (final),,,sea_isle_city_new_jersey_usa,Sea Isle City,New Jersey,US,,,,
"Atlanta, Georgia, USA",1909-08,,"Lewis, Biography of a Race 383",,1909-08,"Lewis, Biography of a Race 383",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1909-05-31,,"Lewis, Biography of a Race 401",,1909-06,"Lewis, Biography of a Race 401",Attended National Negro Conference,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",1909-06,,"Lewis, Biography of a Race 401",,1909-06,"Lewis, Biography of a Race 401",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1909-12,,"Lewis, Biography of a Race 383",,1909-12,"Lewis, Biography of a Race 383",Attended AHA 1909,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",1909-12,,"Lewis, Biography of a Race 383",,1910-08,"Lewis, Biography of a Race 401",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Boston, Massachusetts, USA",1910-03,,"Lewis, Biography of a Race 401",,1910-03,"Lewis, Biography of a Race 401",Public address in favor of NAACP,,,boston_massachusetts_usa,Boston,Massachusetts,US,,,,
"Atlanta, Georgia, USA",1910-03,,"Lewis, Biography of a Race 401",,1910-08,"Lewis, Biography of a Race 401",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1910-08,,"Lewis, Biography of a Race 401",,,,Resigned from Atlanta University to work for NAACP,,,new_york_new_york_usa,New York,New York,US,,,,
"London, England",,1911-06,"Lewis, Biography of a Race 439",1911-07,,"Lewis, Biography of a Race 454","Addressed the Lyceum Club, stayed until late summer",,,london_england,London,,England,,,,
"New York, New York, USA",1911-08,,"Lewis, Biography of a Race 439",1913,,"Lewis, Biography of a Race 439",Returned to NY to work ,,,new_york_new_york_usa,New York,New York,US,,,,
"Southwest, USA",,1913,"Lewis, Biography of a Race 487",,,,Lecture circuit for The Crisis,,,southwest_usa,,Southwest,US,,,,
"California, USA",,1913,"Lewis, Biography of a Race 487",,,,Lecture circuit for The Crisis,,,california_usa,,California,US,,,,
"Oregon, USA",,1913,"Lewis, Biography of a Race 487",,,,Lecture circuit for The Crisis,,,oregon_usa,,Oregon,US,,,,
"Seattle, Washington, USA",,1913,"Lewis, Biography of a Race 487",,,,Lecture circuit for The Crisis,,,seattle_washington_usa,Seattle,Washington,US,,,,
"Memphis, Tennessee, USA",,1914,"Lewis, Biography of a Race 487",,,,Trip with Joel Spingarn,,,memphis_tennessee_usa,Memphis,Tennessee,US,,,,
"Kingston, Jamaica",,1915-04,"Lewis, Biography of a Race 457; Lewis, Fight, 54",,,,"Vacation to Jamaica, late April",,,kingston_jamaica,Kingston,,Jamaica,,,,
"Boston, Massachusetts, USA",1915-04-18,,"Lewis, Biography of a Race 514",,,,Led protest against Birth of a Nation,,,boston_massachusetts_usa,Boston,Massachussetts,US,,,,
"Washington, D.C., USA",,1915-10,"Lewis, Biography of a Race 465",,,,"Washington for Star of Ethiopia pageant, autumn",,,washington_dc._usa,Washington ,District of Columbia,US,,,,
"Manchester, New Hampshire, USA",1915-11,,"Lewis, Biography of a Race 505",,,,"Speaking engagement on ""The World Problem of the Color Line""",,,manchester_new_hampshire_usa,Manchester,New Hampshire,US,,,,
"Florida, USA",1916-02,,"Lewis, Biography of a Race 465",,,,,,,florida_usa,,Florida,US,,,,
"Atlanta, Georgia, USA",1916-02,,"Lewis, Biography of a Race 465",,,,,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Boston, Massachusetts, USA",1916-02,,"Lewis, Biography of a Race 465",,,,Attended Spingarn Medal ceremony,,,boston_massachusetts_usa,Boston,Massachussetts,US,,,,
"New York, New York, USA",1916-02,,"Lewis, Biography of a Race 465",,,,,,,new_york_new_york_usa,New York,New York,US,,,,
"Philadelphia, Pennsylvania, USA",1916-05,,"Lewis, Biography of a Race 465",,,,Put on Star of Ethiopia pageant,,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,US,,,,
"New York, New York, USA",1916-08,,"Lewis, Biography of a Race 465",,,,Greeted Nina & Yolande when they arrived from England,,,new_york_new_york_usa,New York,New York,US,,,,
"Sea Isle City, New Jersey, USA",1916-08,,"Lewis, Biography of a Race 465",,,,Took Nina & Yolande to NJ,,,sea_isle_city_new_jersey_usa,Sea Isle City,New Jersey,US,,,,
"Maine, USA",1916-08,,"Lewis, Biography of a Race 465",,,,"Went on vacation in Maine (unclear, given timing of NAACP meeting)",,,maine_usa,,Maine,US,,,,
"New York, New York, USA",,1916-08-15,,,,"Lewis, Biography of a Race 519",Departed for NAACP Annual Meeting,,,new_york_new_york_usa,New York ,New York,US,,,,
"Amenia, New York, USA",1916-08-24,,"Lewis, Biography of a Race 519",,1916-08-24,"Lewis, Biography of a Race 519",NAACP Annual Meeting,,,amenia_new_york_usa,Amenia,New York,US,,,,
"New York, New York, USA",,1916-12,"Lewis, Biography of a Race 526",1917-01-22,,"Lewis, Biography of a Race 526",Hospitalized in NY; discharged 1917-1-22,,,new_york_new_york_usa,New York ,New York,US,,,,
"Atlanta, Georgia, USA",1917-04,,"Lewis, Biography of a Race 526",1917-04,,"Lewis, Biography of a Race 526",Speaking engagements,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Augusta, Georgia, USA",1917-04,,"Lewis, Biography of a Race 526",1917-04,,"Lewis, Biography of a Race 526",Speaking engagements,,,augusta_georgia_usa,Augusta,Georgia,US,,,,
"Chattanooga, Tennessee, USA",1917-04,,"Lewis, Biography of a Race 526",1917-04,,"Lewis, Biography of a Race 526",Speaking engagements,,,chattanooga_tennessee_usa,Chattanooga,Tennessee,US,,,,
"Charleston, South Carolina, USA",1917-04,,"Lewis, Biography of a Race 526",1917-04,,"Lewis, Biography of a Race 526",Speaking engagements,,,charleston_south_carolina_usa,Charleston,South Carolina,US,,,,
"St. Louis, Missouri, USA",1917-07-08,,"Lewis, Biography of a Race 554",1917-07-18,,"Lewis, Biography of a Race 554",Trip in response to riots,,,st_louis_missouri_usa,St. Louis,Missouri,US,,,,
"New York, New York, USA",,1917-07-18,"Lewis, Biography of a Race 554",,,,Returned from St. Louis,,,new_york_new_york_usa,New York ,New York,US,,,,
"Washington, D.C., USA",,1918-06-04,"Lewis, Biography of a Race 554",,,,Spingarn brought Du Bois to DC to consider role in military intelligence,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Brest, France",1918-12-09,,"Lewis, Biography of a Race 566",1918-12-09,,"Lewis, Biography of a Race 566",Docked in Europe,,,brest_france,Brest,,France,,,,
"Paris, France",1918-12-09,,"Lewis, Biography of a Race 561",1919-04-01,,"Lewis, Biography of a Race 578","Paris mission for NAACP, Pan-African Congress & ulterior motives",,,paris_france,Paris,,France,,,,
"New York, New York, USA",,1919-04-01,"Lewis, Fight 1",,,,Returned from Europe,,,new_york_new_york_usa,New York ,New York,US,,,,
"Atlanta, Georgia, USA",,1920-06,"Lewis, Fight 23",,,,NAACP meeting,,,atlanta_georgia_usa,Atlanta ,Georgia,US,,,,
"Paris, France",,1921-08-16,"Lewis, Fight 37",,,,Pan-African Congress,,,paris_france,Paris,,France,,,,
"London, England",,1921-08-27,"Lewis, Fight 40",,,,Pan-African Congress,,,london_england,London,,England,,,,
"Brussels, Belgium",,1912-08-30,"Lewis, Fight 42",,,,Pan-African Congress,,,brussels_belgium,Brussels,,Belgium,,,,
"Paris, France",,1921-09-04,"Lewis, Fight 45",,,,Pan African-Congress,,,paris_france,Paris,,France,,,,
"Geneva, Switzerland",,1921-09,"Lewis, Fight 47",,,,"Left immediately after Pan-African Congress, which ended September 6, 1921",,,geneva_switzerland,Geneva,,Switzerland,,,,
"Chamonix-Mount Blanc, France",,1921-09,"Lewis, Fight 49",,,,"Vacation, likely with lover & mentee Jessie Fausett",,,chamonix_mount_blanc_france,Chamonix-Mont Blanc,,France,,,,
"New York, New York, USA",,1921-09,"Lewis, Fight 50",,,,Returned late September from Europe,,,new_york_new_york_usa,New York ,New York,US,,,,
"Toledo, Ohio, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,toledo_ohio_usa,Toledo,Ohio,US,,,,
"Zanesville, Ohio, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,zanesville_ohio_usa,Zanesville,Ohio,US,,,,
"Chicago, Illinois, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"Indianapolis, Indiana, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,indianapolis_indiana_usa,Indianapolis,Indiana,US,,,,
"Denver, Colorado, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,denver_colorado_usa,Denver,Colorado,US,,,,
"Portland, Oregon, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,portland_oregon_usa,Portland,Oregon,US,,,,
"Eugene, Oregon, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,eugene_oregon_usa,Eugene,Oregon,US,,,,
"Sacramento, California, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,sacramento_california_usa,Sacramento,California,US,,,,
"San Francisco, California, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,san_francisco_california_usa,San Francisco,California,US,,,,
"Oakland, California, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,oakland_california_usa,Oakland,California,US,,,,
"Los Angeles, California, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,los_angeles_california_usa,Los Angeles,California,US,,,,
"San Diego, California, USA",,1923-02,"Lewis, Fight 103",1923-04,,"Lewis, Fight 103","Speaking tour, mid-February to early April",,,san_diego_california_usa,San Diego,California,US,,,,
"Nashville, Tennessee, USA",1923-04,,"Lewis, Fight 106",1923-05,,"Lewis, Fight 106","Trip for Yolande's illness, back at desk by May 2, 1923",,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"London, England",,1923-10,"Lewis, Fight 108",,,,Pan-African Congress,,,london_england,London,,England,,,,
"Saint-Étienne, France",,1923-10,"Lewis, Fight 114",,,,,,,saint_etienne_france,St. Etienne,,France,,,,
"Marseilles, France",,1923-10,"Lewis, Fight 114",,,,,,,marseilles_france,Marseilles,,France,,,,
"Carcassonne, France",,1923-10,"Lewis, Fight 114",,,,,,,carcassonne_france,Carcassonne,,France,,,,
"Madrid, Spain",,1923-10,"Lewis, Fight 114",,,,,,,madrid_spain,Madrid,,Spain,,,,
"Lisbon, Portugal",,1923-11-30,"Lewis, Fight 115",,,,Pan-African Congress,,,lisbon_portugal,Lisbon,,Portugal,,,,
"Tenerife, Spain",,1923-12-16,"Lewis, Fight 118",,,,,,,tenerife_spain,Tenerife,,Canary Islands,,,,
"Monrovia, Liberia",,1923-12-22,"Lewis, Fight 118",,,,,,,monrovia_liberia,Monrovia,,Liberia,,,,
Sierra Leone,,1924-01,"Lewis, Fight 127",,,,,,,sierra_leone,,,Sierra Leone,,,,
"Dakar, Senegal",,1924-01,"Lewis, Fight 127",,,,,,,dakar_senegal,Dakar,,Senegal,,,,
"New York, New York, USA",,1924-03-21,"Lewis, Fight 128; Lewis, Fight 157",,,,"Back to NY in late March; was present at Jessie Fausett's book launch on March 21, 1924",,,new_york_new_york_usa,New York,New York,US,,,,
"Nashville, Tennessee, USA",,1924-06-01,"Lewis, Fight 132",,,,Yolande's graduation from Fisk,,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Philadelphia, Pennsylvania, USA",,1924-06-25,"Lewis, Fight 131",1924-07-01,,"Lewis, Fight 131",NAACP Annual Meeting,,,philadelphia_pennsylvania_usa,Philadephia,Pennsylvania,US,,,,
"Chicago, Illinois, USA",,1926-06,"Lewis, Fight 175",,,,NAACP Annual Meeting,,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"New York, New York, USA",,1926-08,"Lewis, Fight 183",,,,Sailed from NY to Europe in mid-August,,,new_york_new_york_usa,New York,New York,US,,,,
"Antwerp, Belgium",,1926-08,"Lewis, Fight 183",1926-09,,"Lewis, Fight 183",,,,antwerp_belgium,Antwerp,,Belgium,,,,
"Frankfurt, Germany",,1926-08,"Lewis, Fight 183",1926-09,,"Lewis, Fight 183",,,,frankfurt_germany,Franfurt,,Germany,,,,
"Berlin, Germany",,1926-08,"Lewis, Fight 183",1926-09,,"Lewis, Fight 183",,,,berlin_germany,Berlin,,Germany,,,,
"Szczecin, Poland",,1926-08-14,"Lewis, Fight 200",1926-08-14,,"Lewis, Fight 200",,,,szczecin_poland,Szczecin,,Poland,,,,
"Kronstadt, Russia",,1926-08,"Lewis, Fight 200",,,,Arrived after 1926-08-14,,,kronstadt_russia,Kronstadt,,Russia,,,,
"St. Petersburg, Russia",,1926-08,"Lewis, Fight 183",1926-09,,"Lewis, Fight 183","Then, Leningrad; Arrived after 1926-08-14",,,st_petersburg_russia,St. Petersburg,,Russia,,,,
"Moscow, Russia",,1926-09-17,"Lewis, Fight 183",1926-09,,"Lewis, Fight 183",,,,moscow_russia,Moscow,,Russia,,,,
"Nizhni Novgorod, Russia",,1926-09,"Lewis, Fight 183",,,,,,,nizhni_novgorod_russia,Nizhni Novgorod,,Russia,,,,
"Kiev, Ukraine",,1926-09,"Lewis, Fight 183",,,,,,,kiev_ukraine,Kiev,,Ukraine,,,,
"Odessa, Ukraine",,1926-09,"Lewis, Fight 183",1926-10,,"Lewis, Fight 183",,,,odessa_ukraine,Odessa,,Ukraine,,,,
"Istanbul, Turkey",,1926-10,"Lewis, Fight 183",1926-10,,"Lewis, Fight 183","Then, Constantinople",,,istanbul_turkey,Istanbul,,Turkey,,,,
"Athens, Greece",,1926-10,"Lewis, Fight 183",1926-10,,"Lewis, Fight 183",,,,athens_greece,Athens,,Greece,,,,
Italy,,1926-10,"Lewis, Fight 183",1926-10,,"Lewis, Fight 183",,,,italy,,,Italy,,,,
"New York, New York, USA",,1926-10-15,"Lewis, Fight 183",,,,Returned home from Europe,,,new_york_new_york_usa,New York,New York,US,,,,
"Washington, D.C., USA",1926-12-11,,"Lewis, Fight 185",,1926-12-15,"Lewis, Fight 185","Visiting lover, Georgia Douglas Johnson",,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Los Angeles, California, USA",,1927-01,"Lewis, Fight 206",,,,California lecture tour,,,los_angeles_california_usa,Los Angeles,California,US,,,,
"New York, New York, USA",,1927-08-21,"Lewis, Fight 209",1927-08-25,,"Lewis, Fight 209",Pan-African Congress,,,new_york_new_york_usa,New York,New York,US,,,,
"New York, New York, USA",,1928-04-09,"Lewis, Fight 221",1928-04-13,,"Lewis, Fight 223",Yolande's wedding to Countee Cullen ,,,new_york_new_york_usa,New York,New York,US,,,,
"Chicago, Illinois, USA",,1928-06,"Lewis, Fight 225",,,,"Went to visit lover, Mildred Bryant Jones",,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"Los Angeles, California, USA",,1928-06,"Lewis, Fight 225",,,,"NAACP Convention, after Chicago visit",,,los_angeles_california_usa,Los Angeles,California,US,,,,
"New York, New York, USA",,1929-12-15,"Lewis, Fight 252",1931,,"Lewis, Fight 252",Launch of League for Independent Political Action,,,new_york_new_york_usa,New York,New York,US,,,,
"Baltimore, Maryland, USA",,1931-09-02,"Lewis, Fight 289",,,,Yolande's second wedding,,,baltimore_maryland_usa,Baltimore,Maryland,US,,,,
"New York, New York, USA",,1931-11-17,"Lewis, Fight 302",,,,Celebration of 21st anniversary of The Crisis,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",,1932-03,"Lewis, Fight 302",,,,Two weeks of lectures at Atlanta University,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",,1932-03,"Lewis, Fight 302",,,,,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",,1933-01-26,"Lewis, Fight 302-3",1933-03,,"Lewis, Fight 361",Moved to Atlanta to take professorship at Atlanta University Center,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Washington, D.C., USA",,1933-05-13,"Lewis, Fight 310",1933-05-15,,"Lewis, Fight 310",Addressed Conference on the Economic Status of the Negro,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Nashville, Tennessee, USA",,1933-06,"Lewis, Fight 312",,,,Visit to Fisk,,,nashville_tennessee_usa,Nashville,Tennnessee,US,,,,
"Atlanta, Georgia, USA",,1933-07-01,"Lewis, Fight 361",,,,,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",,1933-08-04,"Lewis, Fight 324",,,,,,,new_york_new_york_usa,New York,New York,US,,,,
"Amenia, New York, USA",1933-08-18,,"Lewis, Fight 318",,1933-08-21,"Lewis, Fight 318",Amenia Conference,,,amenia_new_york_usa,Amenia,New York,US,,,,
"New York, New York, USA",,1933-09,"Lewis, Fight 362",1933-10,,"Lewis, Fight 362",,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",,1933-10,"Lewis, Fight 362",1935,,"Lewis, Fight 362",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Washington, D.C., USA",,1935-04,"Lewis, Fight 423",,,,"Conference at Howard, late April",,,washington_dc._usa,Washington,District of Columbia,US,,,,
"New York, New York, USA",,1935-12,"Lewis, Fight 378",1936-01,,"Lewis, Fight 378",,,,new_york_new_york_usa,New York,New York,US,,,,
"Nashville, Tennessee, USA",,1936-01-02,"Lewis, Fight 387",,,,Slept with Shirley Graham for the first time,,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Atlanta, Georgia, USA",,1936-04,"Lewis, Fight 385",,,,Drove from Atlanta to Louisville,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Louisville, Kentucky, USA",,1936-04-15,"Lewis, Fight 385",,,,Speaking engagement ,,,louisville_kentucky_usa,Louisville,Kentucky,US,,,,
"New York, New York, USA",,1936-06-05,"Lewis, Fight 383",1936-06-05,,"Lewis, Fight 383","Traveled to Southampton, UK via NY",,,new_york_new_york_usa,New York,New York,US,,,,
"Southampton, England",,1936-06-15,"Lewis, Fight 393",,,,,,,southampton_england,Southampton,,England,,,,
"London, England",,1936-06,"Lewis, Fight 393",,,,,,,london_england,London,,England,,,,
"Brussels, Belgium",,1936-06,"Lewis, Fight 395",,,,,,,brussels_belgium,Brussels,,Belgium,,,,
"Berlin, Germany",1936-07-01,,"Lewis, Fight 396",1936-07,,"Lewis, Fight 400","He wasn't in Berlin for much of August but came back in late August (Lewis, Fight 403)",,,berlin_germany,Berlin,,Germany,,,,
"Paris, France",1936-07,,"Lewis, Fight 400",,1936-08,"Lewis, Fight 400",Was in Paris for a week,,,paris_france,Paris,,France,,,,
"Bavaria, Germany",1936-08,,"Lewis, Fight 404",,1936-08,"Lewis, Fight 404",Vacation ,,,bavaria_germany,Bavaria,,Germany,,,,
"Berlin, Germany",,1936-08,"Lewis, Fight 404",,,,"Returned late August; at some point he went to Vienna - dates unclear (Lewis, Fight 405)",,,berlin_germany,Berlin,,Germany,,,,
Russia,,1936-11,"Lewis, Fight 400",,,,,,,russia,,,Russia,,,,
China,,1936-12,"Lewis, Fight 413",,1936-12,"Lewis, Fight 415",,,,china,,,China,,,,
"Nagasaki, Japan",,1936-12-02,"Lewis, Fight 415",,,,,,,nagasaki_japan,Nagasaki,,Japan,,,,
"Osaka, Japan",,1936-12-05,"Lewis, Fight 415",,,,,,,osaka_japan,Osaka,,Japan,,,,
"Tokyo, Japan",,1936-12-10,"Lewis, Fight 415",,1936-12-15,"Lewis, Fight 416",,,,tokyo_japan,Tokyo,,Japan,,,,
"Yokahama, Japan",,1936-12-17,"Lewis, Fight 417",,,,,,,yokahama_japan,Yokahama,,Japan,,,,
"Atlanta, Georgia, USA",,1937-01,"Lewis, Fight 418",,,,"Returned from Europe & Asia; second week of January 1937 (Lewis, Fight 422)",,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Detroit, Michigan, USA",,1938-02,"Lewis, Fight 437",,,,,,,detroit_michigan_usa,Detroit,Michigan,US,,,,
"Chicago, Illinois, USA",,1938-02,"Lewis, Fight 437",,,,,,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"Wheeling, West Virginia, USA",,1938-02,"Lewis, Fight 438",,,,,,,wheeling_west_virginia_usa,Wheeling,West Virginia,US,,,,
"Atlanta, Georgia, USA",,1938-11,"Lewis, Fight 448",1940,,"Lewis, Fight 470",,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Louisiana, USA",,1940-01,"Lewis, Fight 470",,,,,,,louisiana_usa,,Louisiana,US,,,,
"Texas, USA",,1940-01,"Lewis, Fight 470",,,,,,,texas_usa,,Texas,US,,,,
"Chicago, Illinois, USA",,1940-02,"Lewis, Fight 471",,,,Lincoln Day Dinner in which he frequently participated,,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"New York, New York, USA",,1940-12,"Lewis, Fight 483",,,,Attended American Historical Society Meeting,,,new_york_new_york_usa,New York ,New York,US,,,,
"Baltimore, Maryland, USA",,1941-05,"Lewis, Fight 484",,,,Visit to Yolande & Nina,,,baltimore_maryland_usa,Baltimore,Maryland,US,,,,
"Havana, Cuba",,1941-06,"Lewis, Fight 484",,,,,,,havana_cuba,Havana,,Cuba,,,,
"Santiago de Cuba, Cuba",,1941-06-18,"Lewis, Fight 485",,,,,,,santiago_de_cuba_cuba,Santiago,,Cuba,,,,
"Key West, Florida, USA",,1941-06-18,"Lewis, Fight 485",,,,Returned from Cuba via Key West,,,key_west_florida_usa,Key West,Florida,US,,,,
"Poughkeepsie, New York, USA",,1942-04-22,"Lewis, Fight 487",,,,,,,poughkeepsie_new_york_usa,Poughkeepsie,New York,US,,,,
"New Haven, Connecticut, USA",,1942-04-23,"Lewis, Fight 487",,,,,,,new_haven_connecticut_usa,New Haven,Connecticut,US,,,,
"New York, New York, USA",,1942-04,"Lewis, Fight 488",,,,Left New Haven for NY,,,new_york_new_york_usa,New York ,New York,US,,,,
"Durham, North Carolina",,1942-10,"Lewis, Fight 488",,,,,,,durham_north_carolina,Durham,North Carolina,US,,,,
"Atlanta, Georgia, USA",,1942-10,"Lewis, Fight 488",1944,,"Lewis, Fight 497",Returned to Atlanta to work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",,1944-07,"Lewis, Fight 497",,,,"Forcibly retired by Atlanta University, returned to NAACP",,,new_york_new_york_usa,New York ,New York,US,,,,
"San Francisco, California, USA",,1945-04,"Lewis, Fight 507",,,,,,,san_francisco_california_usa,San Francisco,California,US,,,,
"New York, New York, USA",,1945-06,"Lewis, Fight 511",,,,,,,new_york_new_york_usa,New York ,New York,US,,,,
"Washington, D.C., USA",,1945-07-11,"Lewis, Fight 572",,,,,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Manchester, England",,1945-11-15,"Lewis, Fight 512",1945-11-20,,"Lewis, Fight 512",Pan-African Congress,,,manchester_england,Manchester ,,England,,,,
"London, England",,1945-11,"Lewis, Fight 518",,,,Went to London after Manchester,,,london_england,London,,England,,,,
"Columbia, South Carolina, USA",,1946-11-20,"Lewis, Fight 524",,,,,,,columbia_south_carolina_usa,Columbia,South Carolina,US,,,,
"New York, New York, USA",,1947,"Lewis, Fight 543",1949,,"Lewis, Fight 543",,,,new_york_new_york_usa,New York ,New York,US,,,,
"Paris, France",,1949-04,"Lewis, Fight 543",,,,,,,paris_france,Paris,France,US,,,,
"New York, New York, USA",,1949-09-16,"Lewis, Fight 545",,,,Return from Europe,,,new_york_new_york_usa,New York ,New York,US,,,,
"Great Barrington, Massachusetts, USA",,1950-07,"Lewis, Fight 545",,,,"Buried Nina in Great Barrington, Massachusetts",,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,US,,,,
"New York, New York, USA",,1951-02-14,"Lewis, Fight 547",,,,Married Shirley Graham,,,new_york_new_york_usa,New York ,New York,US,,,,
"Washington, D.C., USA",,1951-02-15,"Lewis, Fight 548",,,,,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"New York, New York, USA",,1952,"Lewis, Fight 558",1958,,"Lewis, Fight 559",,,,new_york_new_york_usa,New York ,New York,US,,,,
"London, England",,1958-08,"Lewis, Fight 559",,,,"Beginning of Europe, China, Russia trip",,,london_england,London,,England,,,,
"Moscow, Russia",,1958-11-07,"Lewis, Fight 560",,,,,,,moscow_russia,Moscow,,Russia,,,,
"Beijing, China",,1959-02,"Lewis, Fight 562",,,,Spent nearly all February in Beijing,,,beijing_china,Beijing,,China,,,,
"Moscow, Russia",,1959-04-06,"Lewis, Fight 564",,,,,,,moscow_russia,Moscow,,Russia,,,,
"Stockholm, Sweden",,1959-07,"Lewis, Fight 564",,,,,,,stockholm_sweden,Stockholm,,Sweden,,,,
"New York, New York, USA",,1959-07,"Lewis, Fight 564",,,,"Return from Europe, China, Russia trip",,,new_york_new_york_usa,New York ,New York,US,,,,
"Accra, Ghana",,1960-07,"Lewis, Fight 565",,,,,,,accra_ghana,Accra,,Ghana,,,,
"New York, New York, USA",,1960-09,"Lewis, Fight 565",,,,Return from Ghana,,,new_york_new_york_usa,New York ,New York,US,,,,
