W.E.B. Du Bois,webdubois,"scholar, activist",,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Weimar, Germany",1892-10,,"Lewis, Biography of a Race 130",,1892-10,"Lewis, Biography of a Race 130","Left Eisenach on second Saturday in October 1892 to start studies in Berlin, via Weimar and Leipzig",,,weimar_germany,Weimar,,Germany,,,,
"Leipzig, Germany",1892-10,,"Lewis, Biography of a Race 130",,1892-10,"Lewis, Biography of a Race 130","Left Eisenach on second Saturday in October 1892 to start studies in Berlin, via Weimar and Leipzig",,,leipzig_germany,Leipzig,,Germany,,,,
"Berlin, Germany",1892-10,,"Lewis, Biography of a Race 131",,1892-12,"Lewis, Biography of a Race 137",Arrived in Berlin by 1892-10-17,,,berlin_germany,Berlin,,Germany,,,,
"Weimar, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,1892-12,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,weimar_germany,Weimar,,Germany,,,,
"Frankfurt, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,frankfurt_germany,Frankfurt,,Germany,,,,
"Mannheim, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,mannheim_germany,Mannheim,,Germany,,,,
"Heidelberg, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,heidelberg_germany,Heidelberg,,Germany,,,,
"Pfalz, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,pfalz_germany,Pfalz,,Germany,,,,
"Neustadt, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,neustadt_germany,Neustadt,,Germany,,,,
"Strasbourg, France",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,strasbourg_france,Strasbourg,,Germany,,,,
"Stuttgart, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,stuttgart_germany,Stuttgart,,Germany,,,,
"Munich, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,munich_germany,Munich,,Germany,,,,
"Nuremberg, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",Traveled with friends over Christmas break,,,nuremberg_germany,Nuremburg,,Germany,,,,
"Prague, Czech Republic",,1892-12,"Lewis, Biography of a Race 143",1893,,"Lewis, Biography of a Race 143",Traveled with friends over Christmas break,,,prague_czech_republic,Prague,,Czechoslovakia,,,,
"Dresden, Germany",,1892-12,"Lewis, Biography of a Race 143",1893,,"Lewis, Biography of a Race 143",Traveled with friends over Christmas break,,,dresden_germany,Dresden,,Germany,,,,
"Berlin, Germany",,1893,"Lewis, Biography of a Race 137",,1893-03,"Lewis, Biography of a Race 137",Returned to Berlin for studies,,,berlin_germany,Berlin,,Germany,,,,
"Lübeck, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,,Traveled with friends over Spring Break,,,lubeck_germany,Lübeck,,Germany,,,,
"Hamburg, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,,Traveled with friends over Spring Break,,,hamburg_germany,Hamburg,,Germany,,,,
"Bremen, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,,Traveled with friends over Spring Break,,,bremen_germany,Bremen,,Germany,,,,
"Kassel, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,"Lewis, Biography of a Race 143",Traveled with friends over Spring Break,,,kassel_germany,Kassel,,Germany,,,,
"Berlin, Germany",1893-04,,"Lewis, Biography of a Race 143",1893-08,,"Lewis, Biography of a Race 143",Returned to Berlin for studies,,,berlin_germany,Berlin,,Germany,,,,
Switzerland,,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,switzerland,,,Switzerland,,,,
"Rome, Italy",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,rome_italy,Rome,,Italy,,,,
"Naples, Italy",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,naples_italy,Naples,,Italy,,,,
"Venice, Italy",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,venice_italy,Venice,,Italy,,,,
"Vienna, Austria",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,vienna_austria,Vienna,,Austria,,,,
"Budapest, Hungary",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,budapest_hungary,Budapest,,Hungary,,,,
"Tatra Mountains, Czech Republic",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,tatra_mountains_czech_republic,Tatra Mountains,,Czechoslovakia,,,,
"Krakow, Poland",,1893-08,"Lewis, Biography of a Race 143",,,,Traveled with friends over Summer Recess,,,krakow_poland,Krakow,,Poland,,,,
"Breslau, Germany",1893-09,,"Lewis, Biography of a Race 143",,1893-09,"Lewis, Biography of a Race 143",Traveled with friends over Summer Recess,,,breslau_germany,Breslau,,Germany,,,,
"Dresden, Germany",1893-09,,"Lewis, Biography of a Race 143",,1893-09,"Lewis, Biography of a Race 143",Traveled with friends over Summer Recess,,,dresden_germany,Dresden,,Germany,,,,
"Berlin, Germany",1893-09,,"Lewis, Biography of a Race 143",1894,,"Lewis, Biography of a Race 148",Arrived back in Berlin in late September to write dissertation outline,,,berlin_germany,Berlin,,Germany,,,,
"Magdeburg, Germany",,1894,"Lewis, Biography of a Race 148",1894,,"Lewis, Biography of a Race 148","Lost funding for German PhD, left Berlin",,,magdeburg_germany,Madeburg,,Germany,,,,
"Halberstadt, Germany",,1894,"Lewis, Biography of a Race 148",1894,,"Lewis, Biography of a Race 148",Traveled on his way back to U.S. ,,,halberstadt_germany,Halberstadt,,Germany,,,,
"Paris, France",1894-05,,"Lewis, Biography of a Race 148",,1894-05,"Lewis, Biography of a Race 148",Traveled on his way back to U.S. ,,,paris_france,Paris,,France,,,,
"London, England",1894-05,,"Lewis, Biography of a Race 148",,1894-05,"Lewis, Biography of a Race 148",Traveled on his way back to U.S. ,,,london_england,London,,England,,,,
"New York, New York, USA",1894-06,,"Lewis, Biography of a Race 159",,,,Returned to U.S.,,,new_york_new_york_usa,New York,New York,US,,,,
"Great Barrington, Massachusetts, USA",1894-06,,"Lewis, Biography of a Race 159",,1894-08,"Lewis, Biography of a Race 159","Went home to Great Barrington, Massachusetts to look for teaching position",,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,US,,,,
"Wilberforce, Ohio, USA",1894-08,,"Lewis, Biography of a Race 159",1896,,"Lewis, Biography of a Race 182",Took up teaching position in Classics at Wilberforce University,,,wilberforce_ohio_usa,Wilberforce,Ohio,US,,,,
"Cedar Rapids, Iowa, USA",1896-05,,"Lewis, Biography of a Race 182",1896-05,,"Lewis, Biography of a Race 182","Trip to Ceder Rapids, Iowa to marry Nina Gomer",,,cedar_rapids_iowa_usa,Cedar Rapids,Iowa,US,,,,
"Wilberforce, Ohio, USA",1896-05,,"Lewis, Biography of a Race 193",1896,,"Lewis, Biography of a Race 193",Du Bois left Wilberforce for Philadelphia by August,,,wilberforce_ohio_usa,Wilberforce,Ohio,US,,,,
"Philadelphia, Pennsylvania, USA",,1896,"Lewis, Biography of a Race 182",,,,Arrived summer 1896 for work on The Philadelphia Negro,,,philadelphia_pennsylvania_usa,Philadelpha,Pennsylvania,US,,,,
"Washington, D.C., USA",1897-03-05,,"Lewis, Biography of a Race 174",1897-03-06,,"Lewis, Biography of a Race 174",Attended startup meeting of Alexander Crummell's American Negro Academy & hoped to meet with U.S. Labor Commissioner about a job,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Philadelphia, Pennsylvania, USA",,1897-07,"Lewis, Biography of a Race 195",,1897-07,"Lewis, Biography of a Race 193",Returns to work in Philadelphia after academy meeting & visit to DC,,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,US,,,,
"Farmville, Virginia, USA",1897-07,,"Lewis, Biography of a Race 195",,1897-07,"Lewis, Biography of a Race 195","Research study on black people in Farmville, VA",,,farmville_virginia_usa,Farmville,Virginia,US,,,,
"Norfolk, Virginia, USA",1897-07,,"Lewis, Biography of a Race 207",,1897-07,"Lewis, Biography of a Race 207",Presentation of research at Hampton Institute in Norfolk,,,norfolk_virginia_usa,Norfolk,Virginia,US,,,,
"Farmville, Virginia, USA",1897-07,,"Lewis, Biography of a Race 195",,1897-08,"Lewis, Biography of a Race 195","Continued research study on black people in Farmville, VA",,,farmville_virginia_usa,Farmville,Virginia,US,,,,
"Philadelphia, Pennsylvania, USA",1897-08,,"Lewis, Biography of a Race 195",,1897-10,"Lewis, Biography of a Race 193",Continued research in Philadelphia for The Philadelphia Negro,,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,US,,,,
"Great Barrington, Massachusetts, USA",1897-10,,"Lewis, Biography of a Race 193",,1897-10,"Lewis, Biography of a Race 193","Visit to Great Barrington, where Nina had given birth to son.",,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,US,,,,
"Philadelphia, Pennsylvania, USA",1897-10,,"Lewis, Biography of a Race 193",,1897-10,"Lewis, Biography of a Race 193",Rushed away from newborn and wife to Philadelphia after two days,,,philadelphia_pennsylvania_usa,Philadelphia,Pennsylvania,US,,,,
"Atlanta, Georgia, USA",,1897-12-24,"Lewis, Biography of a Race 211",,1898-06,"Lewis, Biography of a Race 263","The Du Bois family celebrated Christmas in their new home in Atlanta where Du Bois began a teaching position at Atlanta University on January 1, 1898",,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Nashville, Tennessee, USA",1898-06,,"Lewis, Biography of a Race 263",,1898-06,"Lewis, Biography of a Race 263","Delivered commencement speechat Fisk on June 15, 1898",,,nashville_tennessee_usa,Nashville,Tennessee,US,,,,
"Atlanta, Georgia, USA",1898-06,,"Lewis, Biography of a Race 263",,1899-03,"Lewis, Biography of a Race 263",Returned to Atlanta University for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Boston, Massachusetts, USA",1899-03,,"Lewis, Biography of a Race 243",,1899-03,"Lewis, Biography of a Race 243",Fundraising tour for Atlanta University in New England; meets Booker T. Washington,,,boston_massachusetts_usa,Boston,Massachusetts,US,,,,
"Atlanta, Georgia, USA",1899-03,,"Lewis, Biography of a Race 243",,1899-03,"Lewis, Biography of a Race 243",Continues work at Atlanta University,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Great Barrington, Massachusetts, USA",1899-05,,"Lewis, Biography of a Race 243",,1899-05,"Lewis, Biography of a Race 243","Buries son Burghardt in Great Barrington, Massachusetts",,,great_barrington_massachusetts_usa,Great Barrington,Massachusetts,US,,,,
"Atlanta, Georgia, USA",1899-05-30,,"Lewis, Biography of a Race 243",,1899-08,"Lewis, Biography of a Race 243",Returns to Atlanta six days after burying son to preside over Atlanta Studies conference,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Chicago, Illinois, USA",1899-08,,"Lewis, Biography of a Race 243",,1899-08,"Lewis, Biography of a Race 243",Attended National Afro-American Council meeting in Chicago where he defends Booker T. Washington,,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"Atlanta, Georgia, USA",1899-08,,"Lewis, Biography of a Race 243",,1900-02,"Lewis, Biography of a Race 243",Continued work at Atlanta University,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
