George Lamming,glamming,writer,,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
Barbados,,,,,2005-01-12,George Lamming Collection,Airline ticket,,,barbados,,,Barbados,,,,
Trinidad,2005-01-12,,George Lamming Collection,,2005-01-18,,Airline ticket,,,trinidad,,,Trinidad,,,,
Barbados,2005-01-18,,George Lamming Collection,,,,"Airline ticket, 2005 appointment book",,,barbados,,,Barbados,,,,
Guyana,2005-06-02,,George Lamming Collection,,2005-06-14,,Attends the Groundings conference on Walter Rodney in Guyana. Speaks on June 13,,,guyana,,,Guyana,,,,
"Providence, Rhode Island",2005-08-15,,George Lamming Collection,,2005-11-04,,Materials in Lamming's uncatalogued archives suggest he was at Brown for this semester. Dates from 2005 appointment book,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
"Amherst, Massachusetts, USA",2005-11-04,,George Lamming Collection,,2005-11-06,,Lamming participates in a colloquium in honor of Antonio Benítez-Rojo. Dates from his 2005 appointment book,,,amherst_massachusetts_usa,Amherst,Massachussetts,USA,,,,
"Providence, Rhode Island",2005-11-06,,George Lamming Collection,,2005-11-22,,2005 appointment book,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
"Washington, D.C., USA",2005-11-22,,George Lamming Collection,,2005-11-25,,2005 appointment book,,,washington_dc._usa,Washington ,D.C.,USA,,,,
"New York, New York, USA",2005-11-25,,George Lamming Collection,,2005-11-28,,2005 appointment book,,,new_york_new_york_usa,New York,NY,USA,,,,
"Providence, Rhode Island",2005-11-28,,George Lamming Collection,,2005-12-23,,2005 appointment book,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
Barbados,2005,,Schwarz 16,,2006-08-01,George Lamming Collection,"Flight itinerary gives departure date. 2006 appointment book not entirely clear about where he is for the first half of the year, but it is most likely Barbados",,,barbados,,,Barbados,,,,
"New York, New York, USA",2006-08-01,,George Lamming Collection,,2006-08-05,,Flight itinerary,,,new_york_new_york_usa,New York,N.Y.,USA,,,,
"Providence, Rhode Island",2006-08-05,,George Lamming Collection,,2006-12-22,,Flight itinerary,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
"Paris, France",,2006-09-18,George Lamming Collection,2006-09-22,,,Invited to an event on the 50th anniversary of the Congress of Black Writers. I don't think he attended based on the appointment book,,,paris_france,Paris,,France,,,,
Barbados,2006-12-22,,George Lamming Collection,,2007,Schwarz 16,"Flight itinerary, appointment book",,,barbados,,,Barbados,,,,
"Havana, Cuba",2007-06-04,,George Lamming Collection,,2007-06-14,,Participates in a seminar in his honor at Casa de las Americas. The program of his activities is in his uncatalogued files,,,havana_cuba,Havana,,Cuba,,,,
Barbados,,,George Lamming Collection,,2007-08-10,,Flight itinerary,,,barbados,,,Barbados,,,,
"New York, New York, USA",2007-08-10,,George Lamming Collection,,2007-08-15,,Flight itinerary,,,new_york_new_york_usa,New York,NY,USA,,,,
"Providence, Rhode Island",2007-08-15,,George Lamming Collection,,2007-12-20,,Flight itinerary,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
Barbados,2007-12-20,,George Lamming Collection,,2008,Schwarz 16,Flight itinerary,,,barbados,,,Barbados,,,,
"New Haven, Connecticut, USA",2008-10-30,,George Lamming Collection,,2008-10-31,,Hotel receipt from Yale,,,new_haven_connecticut_usa,New Haven,Conneticut,USA,,,,
"Providence, Rhode Island",2008-09,,George Lamming Collection,,2008-12,,Materials suggest he is at Brown this semester,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
Barbados,,2008,George Lamming Collection,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Montego Bay, Saint James, Jamaica",2009-05-21,,George Lamming Collection,,2009-05-24,,Attends the Calabash literary festival,,,montego_bay_saint_james_jamaica,Treasure Beach/Montego Bay,,Jamaica,,,,
Barbados,2009-05-24,,George Lamming Collection,,2009-06-01,George Lamming Collection,Flight itinerary,,,barbados,,,Barbados,,,,
"Kingston, Jamaica",2009-06-01,,George Lamming Collection,,2009-06-06,,Flight itinerary. Lamming is the Writer in Residence for the Caribbean Studies Association Conference,,,kingston_jamaica,Kingston,,Jamaica,,,,
St. Maarten,2009-06-06,,George Lamming Collection,,,,Flight itinerary,,,st_maarten,,,St. Maarten,,,,
Barbados,,2009,George Lamming Collection,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
Barbados,,2010-01-01,George Lamming Collection,,2010-06-02,,2010 appointment book,,,barbados,,,Barbados,,,,
Grenada,2010-06-02,,George Lamming Collection,,2010-06-09,,2010 appointment book,,,grenada,,,Grenada,,,,
Barbados,2010-06-09,,George Lamming Collection,,2010-08,,2010 appointment book,,,barbados,,,Barbados,,,,
"Providence, Rhode Island",2010-08,,George Lamming Collection,,2010-12-27,,"2010 appointment book, arrival not clear but entries suggest he is teaching at Brown",,,providence_rhode_island,Providence,Rhode Island,USA,,,,
Barbados,,2010,George Lamming Collection,,2011,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Miami, Florida, USA",,2011-03-04,Panelist Bios,,,,Panelist at a symposium in honour of Sanda Pouchet Paquet,,,miami_florida_usa,Miami,Florida,USA,,,,
"Havana, Cuba",2011-05-05,,George Lamming Collection,,,,Receives the Hibiscus Award from UNEAC,,,havana_cuba,Havana,,Cuba,,,,
Barbados,2011,,George Lamming Collection,,2018,,"Assumed, as he was based in Barbados during this period. He currently lives in Barbados",,,barbados,,,Barbados,,,,
