Eslanda Goode Robeson,egrobeson,"anthropologist, journalist, activist",,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Valencia, Spain",1940-09,,Ransby 140,,1940-09-05,,,,,valencia_spain,,,Mexico
"Ennfield, Connecticut, USA",1941-06,,Ransby 137,,1946-05-22,"Robeson, Congo Diary",,,,ennfield_connecticut_usa,Ennfield,Connecticut,United States
"Kinshasa, Democratic Republic of the Congo",1946-05-25,,"Robeson, Congo Diary",,1946-06-04,"Robeson, Congo Diary",,,,kinshasa_democratic_republic_of_the_congo,Kinshasa,,Democratic Republic of Congo
"Brazzaville, Republic of Congo",1946-06-05,,"Robeson, Congo Diary",,1946-06-06,"Robeson, Congo Diary",,,,brazzaville_republic_of_congo,Brazzaville,,Republic of Congo
"Kinshasa, Democratic Republic of the Congo",1946-06-06,,"Robeson, Congo Diary",,1946-06-11,"Robeson, Congo Diary",,,,kinshasa_democratic_republic_of_the_congo,Kinshasa,,Democratic Republic of Congo
"Brazzaville, Republic of Congo",1946-06-11,,"Robeson, Congo Diary",,1946-06-12,"Robeson, Congo Diary",,,,brazzaville_republic_of_congo,Brazzaville,,Republic of Congo
"Kinshasa, Democratic Republic of the Congo",1946-06-12,,"Robeson, Congo Diary",,1946-06-18,"Robeson, Congo Diary",,,,kinshasa_democratic_republic_of_the_congo,Kinshasa,,Democratic Republic of Congo
"Bangui, Central African Republic",1946-06-18,,"Robeson, Congo Diary",,1946-06-24,"Robeson, Congo Diary",,,,bangui_central_african_republic,Bangui,,Central African Republic
"Bangassou, Central African Republic",1946-06-25,,"Robeson, Congo Diary",,1946-07-06,"Robeson, Congo Diary",,,,bangassou_central_african_republic,Bangassou,,Central African Republic
"Fort Lamy, Chad",1946-07-06,,"Robeson, Congo Diary",,1946-07-12,"Robeson, Congo Diary",,,,fort_lamy_chad,Fort Lamy,,Chad
"Bangui, Central African Republic",1946-07-13,,"Robeson, Congo Diary",,1946-07-14,"Robeson, Congo Diary",,,,bangui_central_african_republic,Bangui,,Central African Republic
"Brazzaville, Republic of Congo",1946-07-14,,"Robeson, Congo Diary",,1946-07-15,"Robeson, Congo Diary",,,,brazzaville_republic_of_congo,Brazzaville,,Republic of the Congo
"Kinshasa, Democratic Republic of the Congo",1946-07-15,,"Robeson, Congo Diary",,1946-07-29,"Robeson, Congo Diary",,,,kinshasa_democratic_republic_of_the_congo,Kinshasa,,Democratic Republic of Congo
"Lubumbashi, Democratic Republic of the Congo",1946-07-29,,"Robeson, Congo Diary",,1946-08-07,"Robeson, Congo Diary",,,,lubumbashi_democratic_republic_of_the_congo,Lubumbashi,,Democratic Republic of Congo
"Bujumbura, Burundi",1946-08-07,,"Robeson, Congo Diary",,,"Robeson, Congo Diary",Date of departure unclear,,,bujumbura_burundi,Bujumbura,,Burundi
"Montreal, Canada",,1947-01-23,Mi5 Files,,1947-01-23,Mi5 Files,,,,montreal_canada,Montreal,,Canada
"Moscow, Russia",1949-11-01,,"Ransby, 288",,,,,,,moscow_russia,Moscow,,Russia
"Beijing, China",1949-12,,"Ransby, 198",,1950-01,Ransby 199,,,,beijing_china,Beijing,,China
USA,1950-01,,Ransby 199,,1958-04,Ransby 236,The U.S. government denied Essie a passport because she would not sign an affidavit stating that she was not a communist,,,usa,,,United States
"Port-of-Spain, Trinidad",1949-04,,Ransby 236,1949-04-29,,Ransby 337,,,,port_of_spain_trinidad,Port of Spain,,Trinidad
"London, England",1958-07,,Ransby 239,,,,London remained Essie's home base for the next 7-8 years,,,london_england,London,,England
"Moscow, Russia",1958-08,,Ransby 240,1958-12-31,,,The Robesons' visit to Russia lasted for about a month. Departure date unclear,,,moscow_russia,Moscow,,Russia
Uzbekistan,1958,,Ransby 275,,,,Precise dates unclear,,,uzbekistan,,,Uzbekistan
"Accra, Ghana",1958-12-08,,Ransby 242,,1958-12-12,Ransby 339,Not entirey sure about the departure day but the month was December,,,accra_ghana,Accra,,Ghana
"Prague, Czech Republic",1959-06,,Ransby 288,,1959-08,Ransby 288,,,,prague_czech_republic,,,
Austria,1959-06,,Ransby 288,,1959-08,Ransby 288,,,,austria,,,
"Bucarest, Romania",1959-06,,Ransby 288,,1959-08,Ransby 288,,,,bucarest_romania,,,
"Sydney, Australia",1960-10,,Ransby 251,1960-11-10,1959-08,Ransby 251,,,,sydney_australia,Sydney,,Australia
New Zealand,1960-11,,Ransby 251,,,,,,,new_zealand,,,New Zealand
"Barvikha, Russia",1961-05,,Ransby 253,,1961-06,Ransby 253,,,,barvikha_russia,Barvikha,,Russia
"Berlin, Germany",1963-07,, Ransby 267,,,,Date of return to London unclear,,,berlin_germany,Berlin,,Germany
"Berlin, Germany",1963-08,,Ransby 268,,,,Date of return to London unclear,,,berlin_germany,Berlin,,Germany
"New York, New York, USA",1963-12,,Ransby 272,,,,,,,new_york_new_york_usa,New York City,,United States
