Wifredo Lam,wlam,artist,Tao Leigh Goffe,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID,Personal Notes,Links to resources
"New York, New York, USA",1964-01,,,,,,receives the Guggenheim International Award,new_york_new_york_usa,,new_york_new_york_usa
Italy,,,,,,,receives the Marzotto Prize,italy,,italy
"Albissola, Savona, Liguria, Italy",,,,,,,spends summer with Gherasmin Luca,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
"Venice, Italy",,,,,,,visits Zette and Michele Leiris,venice_italy,,venice_italy
"Paris, France",1964-12-18,,,,,,"participates in a sort of happening on the plaza of the Contrescarpe, Paris. Participating artists: Alechinsky, Matta, Adami, Arroyo, J.-J. Lebel and Rotella. Organized by the Italian art dealer, Ivanohe Trivulzio, they burned 13 canvases after producing photo-lithographs of each painting – a gesture to promote affordable art.",paris_france,,paris_france
"Stockholm, Sweden",1965,,,,,,spends summer with family,stockholm_sweden,,stockholm_sweden
"Falun, Dalama County, Sweden",1965,,,,,,,falun_dalama_county_sweden,,falun_dalama_county_sweden
"Saché, Indre-et-Loire, France",,,,,,,visits Alexander Calder,sache_indre_et_loire_france,,sache_indre_et_loire_france
"Havana, Cuba",1965-12-26,,,,,,Carlos Franqui invites Lam a second time for solo exhibition. Filmed by Manuel Lamar. Lam meets Fidel Castro. Visits with sister Augustina,havana_cuba,,havana_cuba
"Moscow, Russia",,,,,,,layover with Aeroflot direct from Havana,moscow_russia,,moscow_russia
"Mougins, France",,,,,,,visits with Picasso,mougins_france,,mougins_france
"Albissola, Savona, Liguria, Italy",,,,,,,,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
"Paris, France",1966-09-28,,,,,,"attends funeral of Andre Breton, Graham Greene, 11-19 Grand and Petit Palais Picasso Major Retrospective",paris_france,,paris_france
"Amsterdam, Holland",1967,,,,,,attends a retrospective of his work,amsterdam_holland,,amsterdam_holland
"Brussels, Belgium",1967,,,,,,attends a retrospective of his work,brussels_belgium,,brussels_belgium
"Stockholm, Sweden",1967,,,,,,attends a retrospective of his work,stockholm_sweden,,stockholm_sweden
"Paris, France",1967,,,,,,visits the 23rd Salon de Mai,paris_france,,paris_france
"Havana, Cuba",1967-06,,,,,,"visits Cuba to organize exhibition of 100 artisits chosen with Lou Laurin with Fidel Castro. For the Salon, scheduled to take place from July 30 to September 7 in Havana and from September to October in Santiago. Lam was there, waiting on the tarmac, to welcome the new arrivals: Zette and Michel Leiris, Camacho, Cardénas, José Pierre, Zimbacca, Jean Schuster, Appel, César, Corneille, Erro, Hundertwasser, Pignon, Poliakoff, Vasarely, Monory, Ribeyrolles, Adami, Alechinsky, Arman, Penrose, Jouffroy, Luca, Nadeau",havana_cuba,,havana_cuba
France,1967-11-14,,,,,,,france,,france
"Havana, Cuba",1967-12,,,,,,"goes to Habana Libre Hotel. late December, in the company of Leiris, Césaire, Jorn, Naville, Max-Pol Fouchet, Georges Limbour, Joyce Mansour, Matta, Jouffroy, René Louis des Forêts, Dionys Mascolo, Duras, Alechinsky, Edouard Pignon, Jean Schuster, Maurice Nadeau. Listened to Castro's speeches. In January takes friends to his birthplace Sagua La Grande. ",havana_cuba,,havana_cuba
"Albissola, Savona, Liguria, Italy",1968,,,,,,,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
"Paris, France",1969-05-02,,,,,,"birth of son Jonas with Lou Laurin, moves to apartment at Boulevard de Beauséjour in Paris",paris_france,,paris_france
"Menton, France",1969-07-01,,,1969-09-15,,,visits VIIe Bienalle de Menton,menton_france,,menton_france
France,1971,,,,,,commemoration of the 30th Anniversary of the American Rescue Committee,france,,france
"Paris, France",,,,,,,attends the inauguration of the Musée national des Arts et Traditions populaires ,paris_france,,paris_france
"Venice, Italy",,,,,,,attends the Venice Biennal,venice_italy,,venice_italy
"Avignon, France",,,,,,,visits Picasso exhibition after his death,avignon_france,,avignon_france
"Albissola, Savona, Liguria, Italy",,,,,,,,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
India,1974,,,,,,"visits the Benares Shoals and Mahabalipuram (southern India) for the Holidays, on the coast, in the north at Pondicherry where they visit the ruins of the sanctuary consecrated to Shiva and Vishnu from the 12th century",india,,india
"Albissola, Savona, Liguria, Italy",,,,,,,,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
Greece,1975-04,,,,,,visits for easter holiday,greece,,greece
"Albissola, Savona, Liguria, Italy",,,,,,,,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
"Nairobi, Kenya",1977-04,,,,,,visits for easter holiday,nairobi_kenya,,nairobi_kenya
"Havana, Cuba",1977-06,,,,,,reconnects with Gabriel Garcia Marquez and Rene Portocarrero,havana_cuba,,havana_cuba
