Eslanda Goode Robeson,egrobeson,"anthropologist, journalist, activist",,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Bujumbura, Burundi",1946-08-07,,"Robeson, Congo Diary",,,"Robeson, Congo Diary",,bujumbura_burundi
"Montreal, Canada",,1947-01-23,Mi5 Files,,1947-01-23,Mi5 Files,,montreal_canada
"Moscow, Russia",1949-11-01,,"Ransby, 288",,,,,moscow_russia
"Beijing, China",1949-12,,"Ransby, 198",,1950-01,Ransby 199,,beijing_china
USA,1950-01,,Ransby 199,,1958-04,Ransby 236,,usa
"Port-of-Spain, Trinidad",1949-04,,Ransby 236,1949-04-29,,Ransby 337,,port_of_spain_trinidad
"London, England",1958-07,,Ransby 239,,,,,london_england
"Moscow, Russia",1958-08,,Ransby 240,1958-12-31,,,,moscow_russia
Uzbekistan,1958,,Ransby 275,,,,,uzbekistan
"Accra, Ghana",1958-12-08,,Ransby 242,,1958-12-12,Ransby 339,,accra_ghana
"Prague, Czech Republic",1959-06,,Ransby 288,,1959-08,Ransby 288,,prague_czech_republic
Austria,1959-06,,Ransby 288,,1959-08,Ransby 288,,austria
"Bucarest, Romania",1959-06,,Ransby 288,,1959-08,Ransby 288,,bucarest_romania
"Sydney, Australia",1960-10,,Ransby 251,1960-11-10,1959-08,Ransby 251,,sydney_australia
New Zealand,1960-11,,Ransby 251,,,,,new_zealand
"Barvikha, Russia",1961-05,,Ransby 253,,1961-06,Ransby 253,,barvikha_russia
"Berlin, Germany",1963-07,,Ransby 267,,,,,berlin_germany
"New York, New York, USA",1963-12,,Ransby 272,,,,,new_york_new_york_usa
