George Lamming,glamming,writer,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Rio Piedras, Puerto Rico",,1974-10-23,George Lamming Collection,,,,gives lecture at the Universidad de Puerto Rico (check this against lecture in Conversations),rio_piedras_puerto_rico
"San Juan, Puerto Rico",,1974-11-24,Lamming Conversations 126,,,,"gives lecture ""On West Indian Writing."" I suspect this date might be wrong and the lecture was actually in October",san_juan_puerto_rico
"London, England",1974,,Griswold 22,,1975,,,london_england
Denmark,1975,,Griswold 23,,,,,denmark
"Dar-Es-Salaam, Tanzania",1975,,Griswold 23,,,,accepts writers' residency and lectureship ,dar_es_salaam_tanzania
"Limura, Kenya",1975,,Lamming Sovereignty 53,,,,meets with Ngugi wa Thiong'o,limura_kenya
"Nairobi, Kenya",1975,,George Lamming Collection,,,,accepts affiliation w/University of Dar es Salaam,nairobi_kenya
"Havana, Cuba",1976-02,,"""Al Pie de la Letra"" 165",,,,participates in symposium to discuss 1976 Casa de las Américas prize,havana_cuba
Australia,,1976,"Philips 10, Griswold 23",,,,enjoys Commonwealth Literature fellowship ,australia
India,,1976,"Philips 10, Griswold 23",,,,enjoys Commonwealth Literature fellowship ,india
"Philadelphia, Pennsylvania, USA",,1977-03,George Lamming Collection,,,,,philadelphia_pennsylvania_usa
"London, England",,1977-06-24,Griswold 1 ,,,,,london_england
Barbados,,1978,Schwarz 16,,,,,barbados
"Havana, Cuba",1979-07,,"Lamming ""Identidad"" 35",,1979-07,,participates in Symposium on Caribbean cultural identity at CARIFESTA 1979,havana_cuba
"Philadelphia, Pennsylvania, USA",,1979-09-11,Dance 143,,,,gives interview at home of Sonia Sanchez,philadelphia_pennsylvania_usa
Barbados,,1979,Schwarz 16,,,,,barbados
"Georgetown, Guyana",,1980-06-21,Lamming Conversations 184,,,,gives eulogy at Walter Rodney's funeral,georgetown_guyana
Barbados,,1980,Schwarz 16,,1981,,,barbados
Barbados,,1981-08-29,Lamming Conversations 217,,,,"gives the lecture ""The Honourable Member""",barbados
"Havana, Cuba",,1981-09-04,"""Participantes""  41",1981-09-07,,,"participates in the ""Encuentro de Intelectuales por la Sobernía de los Pueblos de Nuestra América""",havana_cuba
Suriname,,1981-12-02,George Lamming Collection,1981-12-04,,,gives interview and lecture at STVS,suriname
"Kingston, Jamaica",,1981-12-12,Lamming Conversations 202,,,,"gives lecture ""The Imperial Encirclement""",kingston_jamaica
Barbados,,1981,Schwarz 16,,,,,barbados
Dominica,,1982,Lamming Conversations 226,,,,"gives lecture ""Nationalism and Nation""",dominica
Grenada,,1982-10,Lamming Conversations 22,,,,attends regional conference on Culture and Sovereignty,grenada
"Carriacou, Saint Vincent and the Grenadines",,1982-10,Lamming Conversations 22,,,,,carriacou_saint_vincent_and_the_grenadines
Barbados,,1982,Schwarz 16,,,,,barbados
"Havana, Cuba",,1983-10,Scott 190,,,,,havana_cuba
Barbados,1983,,Schwarz 16,,,,,barbados
"Port-of-Spain, Trinidad",,1983-10-12,Lamming Conversations 237,,,,"gives lecture ""The Tragedy of a Whole Region"" at Memorial Service for Maurice Bishop and colleagues",port_of_spain_trinidad
"Cave Hill, Barbados",,1983-11-17,Lamming Conversations 244,,,,"gives lecture ""The Plantation Mongrel""",cave_hill_barbados
Trinidad,,1984-01,Lamming Conversations 283,,,,attends second conference for Regional Committee for Cultural Sovereignty,trinidad
"Havana, Cuba",,1984-04-25,Lamming Conversations 187,1984-04-28,,,"gives lecture for Casa de las Américas 25th anniversary, ""The House of Reconciliation""",havana_cuba
Barbados,,1984,Schwarz 16,,,,,barbados
"Kingston, Jamaica",1984-12,,George Lamming Collection,,,,"gives lecture  ""Sovereignty, Mobilization, and Cultural Consciousness"" at Regional Seminar on Caribbean Sovereignty",kingston_jamaica
Barbados,,1984,Schwarz 16,,1985-05-28,George Lamming Collection,,barbados
Trinidad,1985-05-28,,George Lamming Collection,,1985-06-03,George Lamming Collection,,trinidad
Barbados,1985-06-03,,"George Lamming Collection, Lamming Conversations 283",,,,"gives lecture ""Culture and Sovereignty""",barbados
"Buxton, Guyana",,1986-08-01,Lamming Conversations 288,,,,"gives lecture ""The Makers of History"" for Emancipation Day",buxton_guyana
Barbados,,1986,Schwarz 16,,,,,barbados
"Havana, Cuba",,1987,George Lamming Collection,,,,Gives a workshop sponsored by Casa de las Américas and the Permanent Committee of Intellectuals for the Sovereignty of the Peoples of Our America,havana_cuba
"Chapel Hill, North Carolina",1987-01,,George Lamming Collection,,1987-05,,is in semester-long residence at UNC-Chapel Hill ,chapel_hill_north_carolina
Trinidad,,1988-06,Lamming Conversations 199,,,,visits CLR James,trinidad
Barbados,,1988,Schwarz 16,,,,,barbados
