René Depestre,rdepestre,"writer, activist",,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Paris, France",,1964-07,"Depestre, journal intime (September 8, 1965)",,,.,,paris_france
"Havana, Cuba",1964-09-27,,"Depestre, journal intime (October 22, 1964)",1965-10-05,,"Depestre, journal intime (October 5, 1965)",participates in Tricontinental (January 1965),havana_cuba
"Moscow, Russia",,,,,,,,moscow_russia
Mexico,,1967-03,,1967-03,,,participates in Segundo Congreso Latinoamericano de Escritores,mexico
"Havana, Cuba",,1967-10,"Depestre, Rage de vivre (241)",,,,"organizes Cultural Congress of Havana January 4-11, 1968; interviews Césaire",havana_cuba
"Algiers, Algeria",,1969-07,Couffon,,1969-07-27,Couffon,covers First Panafrican Cultural Congress of Algers (July 21-31) as journalist for Granma; meets Amadou M'Bow,algiers_algeria
"Havana, Cuba",,1970-05-04,"Depestre, journal intime (May 4, 1970)",1973-07-26,,"Depestre, journal intime (July 26, 1973)","gives lecture on feminism for ""International Day of Women"" at Ministry of Sugar (March 7, 1973) ",havana_cuba
"Quebec, Canada",,1973-08,"Depestre, journal intime (September 1973)",1973-09,,"Depestre, journal intime (September 11, 1973)",meets w/publishers re: Alléluia,quebec_canada
"Havana, Cuba",,1973-09-11,"Depestre, journal intime (September 11, 1973)",1976,,,"pens ""Lettre à Claude Roy"" 1975-12-07 (Rage de vivre 258); gives lecture on feminism for ""International Day of Women"" (August 1975)",havana_cuba
"Kingston, Jamaica",,1976-03,"Depestre, journal intime (July 9, 1976)",1978,,Couffon,"teaches at Mona, University of the West Indies; attends Carifesta (July 23 - August 2, 1976)",kingston_jamaica
"Havana, Cuba",,1976-07-09,"Depestre, journal intime (July 9, 1976)",1978-07,,"Jonassaint, 186.","pens ""Lettre à Claude Roy"" 1975-12-07 (Rage de vivre 258); holds interview w/Jean Jonassaint (July 1978)",havana_cuba
"Kingston, Jamaica",,1976-07,,1982-05-06,,Couffon,"attends Carifesta (July 23 - August 2, 1976); attends gathering at Manley's home where encounters Derek Walcott, Edouard Glissant, Pable Retamar, C.L.R. James; encounters Juan Almeida Bosque",kingston_jamaica
"Havana, Cuba",,1976-08,"Depestre, journal intime (August 1976)",1978,,Couffon,"attends Second Congress of Cuban Writers and Artists (October 10-13, 1977); holds interview w/Jean Jonassaint (July 1978)",havana_cuba
"Paris, France",,1978-09,Couffon,,1982-05-06,,Couffon,paris_france
"Tokyo, Japan",,1984,Couffon,1984,,,Couffon,tokyo_japan
"Paris, France",,1984,Couffon,1985,,,Couffon,paris_france
"Corfu, Greece",,1985,Couffon,1985,,Couffon,,corfu_greece
"Paris, France",,1985,Couffon,1986,,Couffon,,paris_france
"Lézignan-Corbières, France",,1986,Couffon,1991,,,,lezignan_corbieres_france
"Port Louis, Mauritius",,1991,archival photograph,,,,,port_louis_mauritius
"Lézignan-Corbières, France",,2003,,,2005-02-22,Couffon,,lezignan_corbieres_france
"Fort-de-France, Martinique",,,Couffon,2005-02-22,,Sérant,attends events surrounding Aimé Césaire's 90th birthday,fort_de_france_martinique
"Lézignan-Corbières, France",,,Couffon,2005-02-26,,"""Centre Alcibiade Pommayrac""",,lezignan_corbieres_france
"Port-au-Prince, Haiti",,2005-02-22,Sérant,,2005-02-22,Sérant,"gives a talk at l'Institut français d'Haïti in presence of: Lyonel Trouillot, Frankétienne, Syto Cavé, Leslie Manigat, Michel Hector, Gérard Gourgue",port_au_prince_haiti
"Jacmel, Haiti",2005-02-23,2005-02-23,"""Centre Alcibiade Pommayrac""",2005-02-26,,,"attends three-day program of visits, speeches, exhibitions in Jacmel",jacmel_haiti
"Port-au-Prince, Haiti",2005-02-26,2005-02-26,"""Centre Alcibiade Pommayrac""",,,,,port_au_prince_haiti
"Point-à-Pitre, Guadeloupe",,,,2005-06-06,,"Depestre archive, BFM Limoges: letter from RD to Jean-Marie Péan",lectures at the Centre des Arts et de la Culture on 2005-04-25,point_a_pitre_guadeloupe
"Lézignan-Corbières, France",,2005-04,Couffon,2006-09,,,,lezignan_corbieres_france
"True Blue, Grenada",,2006-09,Couffon,,,,lectures at University of Grenada,true_blue_grenada
"Lézignan-Corbières, France",,2006-09,,,,,,lezignan_corbieres_france
