Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Oakland, California, USA",1943-03,,KDP-SIUC,,1943-03,KDP-SIUC,Performs at Orpheum Theatre,,,,Oakland,California,US
"Spokane, Washington, USA",1943-04,,KDP-SIUC,,1943-04,KDP-SIUC,Performs in Spokane,,,,Spokane,Washington,US
"Portland, Oregon, USA",1943-04,,KDP-SIUC,,1943-04,KDP-SIUC,Performs in Portland,,,,Portland,Oregon,US
"Seattle, Washington, USA",1943-04,,KDP-SIUC,,1943-04,KDP-SIUC,Performs in Seattle,,,,Seattle,Washington,US
"San Francisco, California, USA",1943-05,,KDP-SIUC,,1943-05,KDP-SIUC,Performs at Mark Hopkins Theatre in San Francisco,,,,San Francisco,California,US
"Chicago, Illinois, USA",1943-07,,KDP-SIUC,,1943-07,KDP-SIUC,Performs at Chez Paree nightclub,,,,Chicago,Illinois,US
"Covington, Kentucky, USA",1943-08-13,,KDP-SIUC,,1943-09,KDP-SIUC,Performs at Lookout House in Covington,,,,Covington,Kentucky,US
"Cincinnati, Ohio, USA",1943-09,,KDP-SIUC,,1943-09,KDP-SIUC,Performs in Cincinnati,,,,Cincinnati,Ohio,US
"New York, New York, USA",1943-09-19,,"Burt 2001, 82",,1943-12-04,"Burt 2001, 82",Premiers Tropical Revue at Martin Beck Theatre; runs until December 4; also sets up first Dunham school in 1943 in Caravan Hall according to Love Letters from I Tatti Vol 1,,,,New York,New York ,US
"Toronto, Canada",1943-12,,KDP-SIUC,,1943-12,KDP-SIUC,Tropical Revue tour in Toronto,,,,Toronto,Ontario,Canada
"Boston, Massachusetts, USA",1944-01-17,,"Burt 2001, 82, 89",,1944-01-23,"Burt 2001, 82, 89",Performs Rites de Passage at Boston Opera House; end date unclear but newspaper article from Jan 23 suggests at least that long,,,,Boston,Massachusetts,US
"Philadelphia, Pennsylvania, USA",1944-01-24,,KDP-SIUC,,1944-02,KDP-SIUC,Tropical Revue in Philadelphia,,,,Philadelphia,Pennsylvania,US
"Pittsburgh, Pennsylvania, USA",1944-02-14,,KDP-SIUC,,1944-02-14,KDP-SIUC,Tropical Revue tour,,,,Pittsburgh,Pennsylvania,US
"Cleveland, Ohio, USA",1944-02-20,,KDP-SIUC,,1944-02-20,KDP-SIUC,Tropical Revue tour,,,,Cleveland,Ohio,US
"St. Louis, Missouri, USA",1944-02-21,,KDP-SIUC,,1944-02-26,KDP-SIUC,Tropical Revue tour,,,,St. Louis,Missouri,US
"Los Angeles, California, USA",1944-03,,KDP-SIUC,,1944-03,KDP-SIUC,Tropical Revue tour,,,,Los Angeles,California,US
"San Francisco, California, USA",1944-04,,KDP-SIUC,,1944-04,KDP-SIUC,Tropical Revue tour,,,,San Francisco,California,US
"San Diego, California, USA",1944-04,,KDP-SIUC,,1944-04,KDP-SIUC,Tropical Revue tour,,,,San Diego,California,US
"Chicago, Illinois, USA",1944-06,,KDP-SIUC,,1944-06,KDP-SIUC,Tropical Revue tour,,,,Chicago,Illinois,US
"Los Angeles, California, USA",1944-07,,KDP-SIUC,,1944-07,KDP-SIUC,Performance at Hollywood Bowl,,,,Los Angeles,California,US
"St. Paul, Minnesota, USA",1944-09-29,,KDP-SIUC,,1944-09,KDP-SIUC,Tropical Revue tour,,,,St. Paul,Minnesota,US
"Kansas City, USA",1944-10,,KDP-SIUC,,1944-10,KDP-SIUC,Tropical Revue tour,,,,Kansas City,,US
"Louisville, Kentucky, USA",1944-10-19,,"Clark and Johnson 2005, 255",,1944-10-20,"Clark and Johnson 2005, 255",Performs at Memorial Auditorium and tells audience she will not return until audiences are no longer segregated in the theatre,,,,Louisville,Kentucky,US
"New York, New York, USA",1944-12,,KDP-SIUC,,1944-12,KDP-SIUC,"New Tropical Revue on Broadway; in Love Letters from I Tatti Vol 1 mentions ""late 1944"" starring in Carib Song on Broadway, and night club engagements",,,,New York,New York,US
"San Francisco, California, USA",1945-05,,Das 2014,,1945-06,Das 2014,Hosting party for delegates who are writing the United Nations charter,,,,San Francisco,California,US
"New Haven, Connecticut, USA",1945-09,,KDP-SIUC,,1945-09,KDP-SIUC,Previewing Carib Song in New Haven,,,,New Haven,Connecticut,US
"Boston, Massachusetts, USA",1945-09,,KDP-SIUC,,1945-09,KDP-SIUC,Previewing Carib Song in Boston,,,,Boston,Massachusetts,US
"New York, New York, USA",1945-09-27,,Das 2014,,1945-10,Das 2014,"Carib Song opens at Adelphia Theatre; reviewed poorly, closes after a month",,,,New York,New York,US
"New Haven, Connecticut, USA",1946-04-16,,Das 2014,,1946-04-16,Das 2014,Rehearsing Windy City,,,,New Haven,Connecticut,US
"Philadelphia, Pennsylvania, USA",1946-09,,Das 2014,,1946-09,Das 2014,Opening of Bal Negre at the Shubert,,,,Philadelphia,Pennsylvania,US
