Aimé Césaire,acesaire,"poet, politician",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Fort-de-France,,Martinique,1975-12,,,,,,,,
Paris,,France,1976-05,,,,,,,,
Fort-de-France,,Martinique,1976-12-10,,,,,,,,
Paris,,France,1977-06,,,,,,,,
Dakar,,Senegal,1977-06-09,,,,,,,,
Fort-de-France,,Martinique,1977-07,,,,,,,,
Paris,,France,1977-11,,,,,,,,
Fort-de-France,,Martinique,1978-01,,,,,,,,
Paris,,France,1978-03,,,,,,,,
Geneva,,Switzerland,1978-06,,,,,,,,
Fort-de-France,,Martinique,1978-07-04,,,,,,,,
Paris,,France,1978-11,,,,,,,,
Fort-de-France,,Martinique,1979-01,,,,,,,,
Paris,,France,1979-10,,,,,,,,
Dakar,,Senegal,1979-12-21,,,,,,,,
Fort-de-France,,Martinique,1980-02,,,,,,,,
Paris,,France,1980-06,,,,,,,,
Fort-de-France,,Martinique,1980-06,,,,,,,,
Paris,,France,1981-03-15,,,,,,,,
Fort-de-France,,Martinique,1981-03-29,,,,,,,,
Paris,,France,1981-07-13,,,,,,,,
Fort-de-France,,Martinique,1982-02,,,,,,,,
Angoulême,,France,1982-05-22,,,,,,,,
Paris,,France,1982-09,,,,,,,,
Fort-de-France,,Martinique,1982-12,,,,,,,,
Paris,,France,1982-12-15,,,,,,,,
Fort-de-France,,Martinique,1983-01-10,,,,,,,,
Paris,,France,1983-12,,,,,,,,
Fort-de-France,,Martinique,1984-03,,,,,,,,
Paris,,France,1984-06,,,,,,,,
Fort-de-France,,Martinique,1985-02,,,,,,,,
Paris,,France,1985-04,,,,,,,,
Fort-de-France,,Martinique,1985-03-29,,,,,,,,
Paris,,France,1985-11,,,,,,,,
Fort-de-France,,Martinique,1985-12,,,,,,,,
Paris,,France,1985-12,,,,,,,,
Fort-de-France,,Martinique,1986-01,,,,,,,,
Paris,,France,1986-04,,,,,,,,
Fort-de-France,,Martinique,1986-07,,,,,,,,
Paris,,France,1986-11,,,,,,,,
Fort-de-France,,Martinique,1987-01,,,,,,,,
Miami,,United States,1987-02-26,,,,,,,,
Fort-de-France,,Martinique,1987-07,,,,,,,,
Paris,,France,1989-06,,,,,,,,
Avignon,,France,1989-07,,,,,,,,
Fort-de-France,,Martinique,1989-08,,,,,,,,
Paris,,France,1989-10,,,,,,,,
Fort-de-France,,Martinique,1989-12,,,,,,,,
