Eslanda Goode Robeson,erobeson,"anthropologist, journalist, activist",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Beijing,,China,1949-12,,"Ransby, 198",,1950-01,Ransby 199,,,
,,United States,1950-01,,Ransby 199,,1958-04,Ransby 236,The U.S. government denied Essie a passport because she would not sign an affidavit stating that she was not a communist,,
Port of Spain,,Trinidad,1949-04,,Ransby 236,1949-04-29,,Ransby 337,,,
London,,England,1958-07,,Ransby 239,,,,London remained Essie's home base for the next 7-8 years,,
Moscow,,Russia,1958-08,,Ransby 240,1958-12-31,,,The Robesons' visit to Russia lasted for about a month. Departure date unclear,,
,,Uzbekistan,1958,,Ransby 275,,,,Precise dates unclear,,
Accra,,Ghana,1958-12-08,,Ransby 242,,1958-12-12,Ransby 339,Not entirey sure about the departure day but the month was December,,
,,"Czechoslovakia, Austria, and Romania
",1959-06,,Ransby 288,,1959-08,Ransby 288,,,
Sydney,,Australia,1960-10,,Ransby 251,1960-11-10,,Ransby 251,,,
,,New Zealand,1960-11,,Ransby 251,,,,,,
Barvikha,,Russia,1961-05,,Ransby 253,,1961-06,Ransby 253,,,
Berlin,,Germany,1963-07,, Ransby 267,,,,Date of return to London unclear,,
Berlin,,Germany,1963-08,,Ransby 268,,,,Date of return to London unclear,,
New York City,,United States,1963-12,,Ransby 272,,,,,,
