Suzanne Césaire,scesaire,"essayist, teacher",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Rivière Salée,,"Martinique, France",,"b.August, 1915","Daniel Maximin, xxv",,,,editor's intro to The Great Camouflage,,
Paris,,France,,1933,"Jennifer Wilks, p.111",,,,Left Martinique to study in France,,
Fort de France,,"Martinique, France",December 1939,,"p. 22 (Wilder, 2015)",,,,,,
,,Haiti,,1944,"Childers, p.47",,,,with Aime,,
Paris,,France,,,,d.1966,body transferred 1966,,,,
,,"Martinique, France",,,,,,,burial,,
